N,variant,iters,rel_err,min_eig,nInc
1,poly4,930,1.0129311676857968,3.090737114551529,337
1,poly6,1584,1.4885929423835238,9.748913504277382,482
1,bs4,1096,0.8216430621660417,0.000000007491232845283876,0
1,bs6,1613,1.3330886900386654,6.462773390130745,0
1,bs4old,860,1.2011467958863098,5.5662578330251495,0
1,ccp_poly4,2,44.636277303993126,9.066139848869714,0.000000012117910751703089
1,ccp_bs4,18,21996373.698274612,19.35136366909047,0.15674392414418642
2,poly4,905,0.8632485779665797,3.6500479073853516,325
2,poly6,1454,1.4982598257894881,9.796956677605769,455
2,bs4,967,0.5670631630129043,2.2287641390982644,0
2,bs6,1715,1.2928621970055214,7.44407239392199,0
2,bs4old,865,1.1276885884498147,5.908326645645158,0
3,poly4,940,0.7196939602000255,1.9078226593347516,314
3,poly6,1669,1.0764635082574823,6.612983392491381,408
3,bs4,976,0.4464846641340499,1.683757617579312,0
3,bs6,1514,0.9460173956441859,5.429430409680696,0
3,bs4old,886,0.8356864540972859,4.3925350019533616,0
4,poly4,897,0.7958169942633337,3.3913087760469396,244
4,poly6,1514,1.597674880987871,9.660263371631196,530
4,bs4,976,0.6205438913527794,2.359769102230579,0
4,bs6,1720,1.2903923807689386,7.463102242211705,0
4,bs4old,889,1.1984771204429272,6.16744778812395,0
5,poly4,885,0.5919599850792433,2.7691631501482856,291
5,poly6,1755,1.353604341001583,7.852196535239015,525
5,bs4,1013,0.48007519628457807,2.043596437641428,0
5,bs6,1762,1.0765673995339693,6.436916565918087,0
5,bs4old,891,0.9475607044828002,5.0688421695711385,0
5,ccp_poly4,17,41.70204002211719,26.906244691494294,0.47571797536245347
5,ccp_bs4,17,38.54282421348957,27.131922717604386,0.5161328949783908
6,poly4,925,0.3654415859987352,1.5828810097434853,477
6,poly6,1942,1.012114531669015,6.002280768922478,456
6,bs4,903,0.3749582388378779,1.7109967120152494,0
6,bs6,1846,0.792342287338215,4.95508963463538,0
6,bs4old,915,0.5364416507093076,2.9080594252322256,405
7,poly4,913,0.43062024153318745,1.9016813611882342,556
7,poly6,1905,0.987596459347865,6.631535771417979,438
7,bs4,1014,0.36318175621873516,1.67101199745858,0
7,bs6,1830,0.8171448263913932,5.045977001841059,0
7,bs4old,884,0.6005718058383452,3.2147670882357318,492
8,poly4,910,0.4365937971664342,2.164163940879171,477
8,poly6,1417,0.9526827013245176,6.646628963726513,456
8,bs4,977,0.27609767747671915,1.4995341723846074,0
8,bs6,1834,0.7643042120079061,4.798069785472929,0
8,bs4old,865,0.6287351374436614,3.503708569596705,526
9,poly4,890,0.3743891512471564,2.150947594126752,258
9,poly6,1379,0.9596069622922477,5.404736488096443,390
9,bs4,970,0.2450092709258859,1.5049441227559444,0
9,bs6,1726,0.7267622913157735,4.727405829864331,0
9,bs4old,876,0.5505158533245048,3.2971851963935457,350
10,poly4,953,0.34792833346864194,1.976708192528748,0
10,poly6,1678,1.0034500871909582,4.819281164558524,330
10,bs4,903,0.3071520420829422,1.6554254162627162,0
10,bs6,1811,0.7720792988368833,4.987974286026499,0
10,bs4old,914,0.593087359298099,3.46473645075585,0
10,ccp_poly4,18,38.43834168037773,28.96880099241467,0.4887041382530646
10,ccp_bs4,16,36.88168184955046,29.0979826712342,0.5455267497276016
11,poly4,912,0.3473371720674445,1.6422655581425782,0
11,poly6,1304,0.9469360826996213,5.088699664622151,377
11,bs4,848,0.33780064827457545,1.4559059572331778,0
11,bs6,1735,0.7082390668822702,4.58095101458767,0
11,bs4old,873,0.5537147243996879,3.0832701253894856,0
12,poly4,874,0.5097039181561451,2.401915130500404,299
12,poly6,1342,1.0444019181545043,4.387282751899659,281
12,bs4,832,0.474432255196136,2.0450518627643417,0
12,bs6,1751,0.9595226142135365,5.794104278003488,0
12,bs4old,871,0.7739394360528165,4.161415994959346,242
13,poly4,941,0.44689033591437355,2.258025672037421,401
13,poly6,1448,1.1045144383917096,5.944898022735031,371
13,bs4,967,0.41956413835073747,1.9779837456842146,0
13,bs6,1779,0.9451250153738088,5.856349332999496,0
13,bs4old,886,0.6948790707010256,3.8346087337817987,365
14,poly4,921,0.37821769040063213,1.983869223312615,433
14,poly6,1399,1.05792097578176,6.232067508822394,363
14,bs4,870,0.37289349638661506,1.831627872905924,0
14,bs6,1783,0.8905004138124504,5.586209979742286,0
14,bs4old,889,0.6219030434854663,3.5011806921513062,319
15,poly4,858,0.4362115469444746,2.1219341746601623,519
15,poly6,1369,0.8750302105803404,5.759401010668175,312
15,bs4,983,0.3884823871550796,1.9055674787205075,0
15,bs6,1834,0.7713829669094289,4.63879694320814,0
15,bs4old,859,0.6117733749074478,3.278369879264231,463
16,poly4,916,0.4865827187223088,2.285839404611041,508
16,poly6,1505,1.0081347560429779,6.824867751191175,311
16,bs4,969,0.4526046270450462,2.0381966126166913,0
16,bs6,1858,0.9398362154818886,5.672983926925155,0
16,bs4old,853,0.7367033519343171,3.921119348982363,419
17,poly4,964,0.6222828379084154,2.8389591077809944,397
17,poly6,1474,1.1845529396817134,7.54990735959302,283
17,bs4,987,0.4883704989199859,2.1045766457040442,0
17,bs6,1681,1.0406211899976772,6.086832662713954,0
17,bs4old,915,0.871934601371248,4.539340646051123,452
18,poly4,931,0.5934686820080126,2.831305005080421,362
18,poly6,1557,1.0952522272414282,7.025045917200796,275
18,bs4,1006,0.4359740956359567,2.000899582099294,0
18,bs6,1724,0.9817562157828387,5.792654398370538,0
18,bs4old,920,0.8512804943625911,4.55511329569206,437
19,poly4,958,0.5319779304587059,2.606152222654943,369
19,poly6,1523,0.9727911699830403,6.413974081959634,278
19,bs4,1002,0.4102739488112779,1.9437359803542058,0
19,bs6,1716,0.8785844176571844,5.214257209307011,0
19,bs4old,922,0.7652314330082436,4.149730317449023,428
20,poly4,966,0.48987577995554626,2.5105419871585726,336
20,poly6,1468,0.9650589476008798,6.263278576985153,251
20,bs4,996,0.3766960633360245,1.8772653600554317,0
20,bs6,1733,0.8533149182898685,5.207295807574429,0
20,bs4old,928,0.7228117558607003,4.024453696636001,388
20,ccp_poly4,21,42.011071591528804,31.353701416837886,0.5390023646664273
20,ccp_bs4,16,39.16831514876419,31.57444956227199,0.6206793815531205
21,poly4,967,0.4432960355852109,2.364001486137757,352
21,poly6,1504,0.9008162985361958,6.007137517131026,257
21,bs4,1018,0.34156987323629595,1.8029710232072298,0
21,bs6,1751,0.8101466675773386,5.023525686559424,0
21,bs4old,911,0.6701831376906427,3.803279541050032,401
22,poly4,968,0.40689581769078315,2.2407900750369487,351
22,poly6,1686,0.8824605680603584,5.5557804943899365,260
22,bs4,991,0.3242551127301756,1.7584363185993714,0
22,bs6,1697,0.7620580655592875,4.803163227906499,0
22,bs4old,921,0.6184854887851644,3.5682441147805886,397
23,poly4,955,0.3432561654185632,2.018561701519021,307
23,poly6,1565,0.7403704946280593,5.204356535686299,257
23,bs4,1032,0.29621579019594185,1.6736310738221474,0
23,bs6,1728,0.6741622872315312,4.336923155542045,0
23,bs4old,902,0.5365899004468186,3.2019542067877897,354
24,poly4,942,0.2555025600455557,1.3431731629414623,383
24,poly6,1427,0.2850826221610805,1.6754555990054378,373
24,bs4,895,0.2599329214352974,1.449483789371689,0
24,bs6,1679,0.20896565205543155,0.8131745014302509,0
24,bs4old,890,0.2639323960641714,1.3460163383907076,382
25,poly4,921,0.2521141264610109,1.1835072536316256,349
25,poly6,1482,0.22376608258733577,0.7325657427773796,386
25,bs4,907,0.248617635378801,1.294025166083139,0
25,bs6,1699,0.20209737501013395,0.0463073015142041,0
25,bs4old,875,0.254178254102722,1.0104369954460144,364
26,poly4,941,0.22555563133226397,1.256215880715197,332
26,poly6,1639,0.17131831112693566,0.2587303242917785,170
26,bs4,880,0.2253712076096882,1.2877453589578696,0
26,bs6,1531,0.16636917471600826,0.000000000014315196133769587,0
26,bs4old,894,0.22647068304026297,1.0988443576615918,355
27,poly4,936,0.20510739427154417,1.2368213081756834,330
27,poly6,1595,0.1426874157879874,0.005750628140995666,68
27,bs4,905,0.20536833462627363,1.2530480118918619,0
27,bs6,1515,0.14181399418500223,0.00000000002132169496011573,0
27,bs4old,911,0.2077263969674877,1.123060992544903,352
28,poly4,943,0.17540428901752533,1.1985070754643157,328
28,poly6,1547,0.10644991066697115,0.011787523257581554,83
28,bs4,897,0.17785769606205226,1.2105619737764208,0
28,bs6,1523,0.10499770139304726,0.0000000000025941526585923492,0
28,bs4old,879,0.17631230349359872,1.0885033997840057,352
29,poly4,930,0.16248119056105514,1.2016383311905166,348
29,poly6,1634,0.08453503760690195,0.19518094854619822,190
29,bs4,898,0.1675555246021997,1.2182402501936753,0
29,bs6,1667,0.08068063157473364,0.0000000000423928105866488,0
29,bs4old,891,0.16312074057683318,1.108395847434261,364
30,poly4,934,0.15859521278953043,1.2407626502052547,348
30,poly6,1562,0.08045769971619235,0.5635059425232116,204
30,bs4,881,0.16781277091325944,1.2598791634907829,0
30,bs6,1503,0.05546658815766731,0.000000000006086685286034877,0
30,bs4old,899,0.15867799644281955,1.1696189492125741,361
31,poly4,966,0.15884974740751243,1.2048943855885907,319
31,poly6,1608,0.10142057200101794,0.6623843510766687,179
31,bs4,903,0.16911712805407822,1.2268163943971313,0
31,bs6,1675,0.07264967189173245,0.00000000012102086525702633,0
31,bs4old,923,0.15564946793874326,1.119954586046044,340
32,poly4,942,0.15021919096554623,1.0468576072333882,319
32,poly6,1556,0.09883211809652837,0.2943528085614911,194
32,bs4,896,0.16363208011562083,1.1514974660320612,0
32,bs6,1760,0.09356523817477842,0.000000000012504923697996169,0
32,bs4old,881,0.13904758453346525,0.7984425025560714,342
33,poly4,1088,0.18022710903422243,0.4919570702977616,367
33,poly6,1569,0.1796935339562386,0.7336366714091281,382
33,bs4,819,0.18142663074190665,0.9891716657719074,0
33,bs6,1609,0.1780237892293233,0.8392739489162921,0
33,bs4old,948,0.17616828199882925,0.000000000011207653814001572,402
34,poly4,1081,0.15306263055345523,0.6312846859845284,362
34,poly6,1634,0.15574457002854783,0.8146321947476568,346
34,bs4,832,0.16714235286717208,0.9628282467369469,0
34,bs6,1619,0.1579147810166739,0.7716076648815535,0
34,bs4old,1073,0.1546566102066145,0.08286940911775469,389
35,poly4,914,0.16276923552559872,0.7796526418556448,347
35,poly6,1545,0.15104793913883988,0.000000003794602841288804,394
35,bs4,879,0.18914918423488153,1.1303516662772328,0
35,bs6,1824,0.13232740364040751,0.00000000006377294665340883,0
35,bs4old,877,0.17903562054225786,0.07797920219443105,378
36,poly4,947,0.1613099626440928,0.8716668791563594,332
36,poly6,1519,0.13727400964338501,0.2696338011294403,331
36,bs4,866,0.19592790767228402,1.1083506787622657,0
36,bs6,1698,0.13229206065484803,0.40396740669288583,0
36,bs4old,913,0.14850707548925765,0.5034763949440311,359
37,poly4,896,0.1700525463535313,0.972767795360164,264
37,poly6,1870,0.13508959565300796,0.00000000001171933391658856,229
37,bs4,892,0.18934681310731652,1.1118376295274037,0
37,bs6,1698,0.13314845356991906,0.00000000003567166166885392,0
37,bs4old,889,0.15994969728262962,0.4430279602632869,325
38,poly4,936,0.1511168543540812,0.9114166819057304,288
38,poly6,1779,0.1146207892426213,0.00000000003131140707016872,242
38,bs4,914,0.17465124102053836,1.1007294320530474,0
38,bs6,1695,0.10908166483304098,0.00000000008650162152225272,0
38,bs4old,905,0.14299768110053704,0.4186163011815224,335
39,poly4,899,0.1989615105312735,1.2519264377416182,306
39,poly6,1434,0.1749186265253716,0.6271492294386816,222
39,bs4,836,0.22781377482024495,1.3427870850806334,0
39,bs6,1480,0.1763628081522579,0.9006872315275509,0
39,bs4old,884,0.1859695885509497,1.111339560019805,335
40,poly4,910,0.17865179815561294,1.1775324730303094,315
40,poly6,1465,0.1633141775099483,0.9340355391909179,284
40,bs4,861,0.21365177567620855,1.2995440497129982,0
40,bs6,1645,0.16993666142293964,1.030754440907703,0
40,bs4old,898,0.17169529691195484,1.0959352562977367,332
41,poly4,914,0.19187169182705438,0.8435846809793939,378
41,poly6,1604,0.21820254329617914,1.2928625403556067,343
41,bs4,827,0.22897582042772574,1.2527211564666332,0
41,bs6,1612,0.24436000686747203,1.4641128389198492,0
41,bs4old,905,0.17739756035621485,0.581517627597032,403
42,poly4,948,0.1815028561246447,0.8240293362291656,377
42,poly6,1655,0.20656563941758727,1.2628542666357507,344
42,bs4,813,0.21057417774812703,1.188669533700801,0
42,bs6,1633,0.23102664389504368,1.4093231724601636,0
42,bs4old,876,0.1656824884722124,0.5380739296907738,402
43,poly4,948,0.17342506487558193,0.8414632828158126,371
43,poly6,1622,0.19580031995930589,1.2143556908060107,333
43,bs4,848,0.2036581773518836,1.1587136610845947,0
43,bs6,1634,0.22309201681601226,1.360139112971103,0
43,bs4old,875,0.15751607187203293,0.585351654758522,393
44,poly4,1051,0.15975596030082362,0.712898013099616,365
44,poly6,1827,0.17137295915157513,1.006218207960764,324
44,bs4,864,0.18564623441703607,1.0699018417483375,0
